Sepal_Length Sepal_Width Petal_Length Petal Width_Species
5.1 3.5 1.4	0.2	Setosa
4.9	3.0	1.4	0.2	Setosa
4.7	3.2	1.3	0.2	Setosa
4.6	3.1	1.5	0.2	Setosa
5.0	3.6	1.4	0.2	Setosa
5.4	3.9	1.7	0.4	Setosa
4.6	3.4	1.4	0.3	Setosa
5.0	3.4	1.5	0.2	Setosa
4.4	2.9	1.4	0.2	Setosa
4.9	3.1	1.5	0.1	Setosa
6.7	3.3	5.7	2.5	Versicolor
6.7	3.0	5.2	2.3	Versicolor
6.3	2.5	5.0	1.9	Versicolor
6.5	3.0	5.2	2.0	Versicolor
6.2	3.4	5.4	2.3	Versicolor
5.9	3.0	5.1	1.8	Versicolor
7.0	3.2	4.7	1.4	Virginica
7.6	3.0	6.6	2.1	Virginica
7.3	2.9	6.3	1.8	Virginica
7.2	3.6	6.1	2.5	Virginica
7.7	3.8	6.7	2.2	Virginica
7.4	2.8	6.1	1.9	Virginica
